Book,Page,Chapter Name,POV,Character,Gender,Alive?,Title,Forename,Surname,Old Surname,Alias,Regnal No
A Game of Thrones,1,Prologue,Will,Gared,M,D,,Gared,,,,
A Game of Thrones,1,Prologue,Will,Ser Waymar Royce,M,D,Ser,Waymar,Royce,,,
A Game of Thrones,1,Prologue,Will,Will,M,D,,Will,,,,
A Game of Thrones,11,Bran I,Bran Stark,"Brandon Stark, Bran",M,A,,Brandon,Stark,,Bran,
A Game of Thrones,11,Bran I,Bran Stark,"King Mance Rayder, King-Beyond-the-Wall",M,A,King,Mance,Rayder,,King-Beyond-the-Wall,
A Game of Thrones,11,Bran I,Bran Stark,Old Nan,F,A,,?,,,Old Nan,
A Game of Thrones,11,Bran I,Bran Stark,Robb Stark,M,D,,Robb,Stark,,,
A Game of Thrones,11,Bran I,Bran Stark,Jon Snow,M,U,,Jon,Snow,,,
A Game of Thrones,12,Bran I,Bran Stark,Lord Eddard Stark,M,D,Lord,Eddard,Stark,,,
A Game of Thrones,12,Bran I,Bran Stark,Theon Greyjoy,M,A,,Theon,Greyjoy,,,
A Game of Thrones,12,Bran I,Bran Stark,King Robert Baratheon,M,D,King,Robert,Baratheon,,,
A Game of Thrones,14,Bran I,Bran Stark,Jory Cassel,M,D,,Jory,Cassel,,,
A Game of Thrones,16,Bran I,Bran Stark,Hullen,M,D,,Hullen,,,,
A Game of Thrones,16,Bran I,Bran Stark,Harwin,M,A,,Harwin,,,,
A Game of Thrones,17,Bran I,Bran Stark,Ser Rodrik Cassel,M,D,Ser,Rodrik,Cassel,,,
A Game of Thrones,17,Bran I,Bran Stark,Rickon Stark,M,A,,Rickon,Stark,,,
A Game of Thrones,18,Bran I,Bran Stark,Desmond,M,D,,Desmond,,,,
A Game of Thrones,19,Catelyn I,Catelyn Tully,Lady Catelyn Stark (Tully),F,D,Lady,Catelyn,Stark,Tully,,
A Game of Thrones,20,Catelyn I,Catelyn Tully,"Brandon Stark, The Builder",M,D,,Brandon,Stark,,The Builder,
A Game of Thrones,20,Catelyn I,Catelyn Tully,Arya Stark,F,A,,Arya,Stark,,,
A Game of Thrones,21,Catelyn I,Catelyn Tully,Sansa Stark,F,A,,Sansa,Stark,,,
A Game of Thrones,22,Catelyn I,Catelyn Tully,Maester Luwin,M,D,Maester,Luwin,,,,
A Game of Thrones,22,Catelyn I,Catelyn Tully,Lord Jon Arryn,M,D,Lord,Jon,Arryn,,,
A Game of Thrones,22,Catelyn I,Catelyn Tully,"King Aerys II Targaryen, The Mad King",M,D,King,Aerys,Targaryen,,The Mad King,II
