Book	Page	Chapter Name	POV	Full name	Gender	Status	Birth	Death	Culture	Title	Forename	Surname	Old Surname	Alias	Regnal No
A Game of Thrones	1	Prologue	Will	Gared	M	D	231 - 246 AC	298 AC	?		Gared				
A Game of Thrones	1	Prologue	Will	Ser Waymar Royce	M	D, W	278 or 279 AC	297 AC	Valemen	Ser	Waymar	Royce			
A Game of Thrones	1	Prologue	Will	Will	M	D	?	297 AC	?		Will				
A Game of Thrones	3	Prologue	Will	Lord Commander Jeor Mormont, The Old Bear	M	D	230 AC	299 AC	Northmen	Lord, Lord Commander of the Night's Watch	Jeor	Mormont		The Old Bear	
A Game of Thrones	11	Bran I	Bran Stark	Prince Brandon Stark, Bran	M	A	290 AC		Northmen	Prince	Brandon	Stark		Bran,  the Broken, the winged wolf	
A Game of Thrones	11	Bran I	Bran Stark	King Robb Stark	M	D	283 AC	299 AC	Northmen	King	Robb	Stark		The Young Wolf, Robb the Lord, The wolfling, The pup, The Boy Wolf, The King Who Lost the North	
A Game of Thrones	11	Bran I	Bran Stark	King Mance Rayder, King-Beyond-the-Wall	M	A	?		Free Folk	King	Mance	Rayder		King-Beyond-the-Wall, the Mance, Abel, the Unburnt King	
A Game of Thrones	11	Bran I	Bran Stark	Old Nan	F	A	?		Northmen		Nan			Old Nan	
A Game of Thrones	11	Bran I	Bran Stark	Lord Commander Jon Snow	M	U	283 AC		Northmen	Squire, Lord Commander of the Night's Watch	Jon	Snow		Lord Snow, The Snow of Winterfell, The crow-come-over, The Bastard of Winterfell, Lord Crow, The Black Bastard of the Wall	
A Game of Thrones	12	Bran I	Bran Stark	Lord Eddard Stark	M	D	263 AC	299 AC	Northmen	Lord, Hand of the King, Protector of the Realm, Lord Regent	Eddard	Stark		Ned, The Ned, The quiet wolf	
A Game of Thrones	12	Bran I	Bran Stark	Prince Theon Greyjoy	M	A	278 or 279 AC		Ironborn	Captain of Sea Bitch, Lord, Prince	Theon	Greyjoy		Prince of Fools, Theon Turncloak, the squid prince, Reek (III), the rightful Lord of the Iron Islands, Theon Kinslayer, The Prince of Stink	
A Game of Thrones	12	Bran I	Bran Stark	Jory Cassel	M	D	273 AC or before	298 AC	Northmen	Captain of the guards	Jory	Cassel			
A Game of Thrones	12	Bran I	Bran Stark	King Robert I Baratheon	M	D	262 AC	298 AC	Stormlander	Ser, Lord, King	Robert	Baratheon		The Usurper, Demon of the Trident, The Whoremonger King	I
A Game of Thrones	16	Bran I	Bran Stark	Hullen	M	D	?	298 AC	Northmen	Master of horse	Hullen				
A Game of Thrones	16	Bran I	Bran Stark	Harwin	M	A	271 AC or later		Northmen		Harwin				
A Game of Thrones	17	Bran I	Bran Stark	Ser Rodrik Cassel	M	D	?	299 AC	Northmen	Ser, Castellan, Master-at-arms	Rodrik	Cassel		Old Ser Rodrik	
A Game of Thrones	17	Bran I	Bran Stark	Prince Rickon Stark	M	A	295 AC		Northmen	Prince	Rickon	Stark			
A Game of Thrones	18	Bran I	Bran Stark	Farlen, the kennelmaster	M	D	?	299 AC	Northmen	Kennelmaster	Farlen				
A Game of Thrones	18	Bran I	Bran Stark	Desmond	M	D	?	298 AC	Northmen		Desmond				
A Game of Thrones	19	Catelyn I	Catelyn Tully	Lady Catelyn Tully/Stark	F	D, R	264 or 265 AC	299 AC	Rivermen	Lady	Catelyn	Stark	Tully	Cat, Stoneheart, Lady Stoneheart, The Silent Sister, Mother Merciless, The Hangwoman	
A Game of Thrones	20	Catelyn I	Catelyn Tully	King Brandon Stark, The Builder	M	F	Age of Heroes		First Men	King	Brandon	Stark		The Builder	
A Game of Thrones	20	Catelyn I	Catelyn Tully	Princess Arya Stark	F	A	289 AC		Northmen	Princess, Cupbearer, Novice (Faceless Men)	Arya	Stark		Arya Horseface, Arya Underfoot, Arry, Lumpyhead, Lumpyface, Stickboy, Rabbitkiller, Weasel, Nymeria, Nan, Squab, wolf girl, Salty, Cat of the Canals, Blind Beth, the blind girl, the ugly girl, Mercedene, Mercy	
A Game of Thrones	21	Catelyn I	Catelyn Tully	Princess Sansa Stark	F	A	286 AC		Northmen	Princess	Sansa	Lannister	Stark	Little bird, Jonquil, Alayne Stone, Lady Lannister	
A Game of Thrones	21	Catelyn I	Catelyn Tully	Benjen Stark, brother of Eddard	M	U	267 AC or later		Northmen	First Ranger	Benjen	Stark		Uncle Benjen, Ben Stark, The young pup	
A Game of Thrones	22	Catelyn I	Catelyn Tully	Maester Luwin	M	D	?	299 AC	?	Maester at Winterfell	Luwin				
A Game of Thrones	22	Catelyn I	Catelyn Tully	Lord Jon Arryn	M	D	218 - 220 AC	298 AC	Valemen	Lord, Hand of the King, Ser, Keeper of the Gates of the Moon	Jon	Arryn			
A Game of Thrones	22	Catelyn I	Catelyn Tully	King Aerys II Targaryen, The Mad King	M	H	244 AC	283 AC	Crownlander	King, Ser, Squire	Aerys	Targaryen		The Mad King, King Scab	II
A Game of Thrones	22	Catelyn I	Catelyn Tully	Lord Hoster Tully	M	D	238 - 240 AC	299 AC	Rivermen	Lord	Hoster	Tully			
A Game of Thrones	22	Catelyn I	Catelyn Tully	Grand Maester Pycelle	M	D	216 AC	300 AC	?	Grand Maester	Pycelle				
A Game of Thrones	23	Catelyn I	Catelyn Tully	Lady Lysa Tully/Arryn, Baelish	F	D	266 - 268 AC	300 AC	Rivermen	Lady, Lady Regent	Lysa	Arryn, Baelish	Tully		
A Game of Thrones	23	Catelyn I	Catelyn Tully	Lord Robert Arryn	M	A	292 AC		Valemen	Lord	Robert	Arryn		True Warden of the East, Sweetrobin	
A Game of Thrones	23	Catelyn I	Catelyn Tully	Ser Brynden Tully, Blackfish	M	A	243 - 245 AC		Rivermen	Ser, Knight of the Bloody Gate, Castellan	Brynden	Tully		Blackfish	
A Game of Thrones	24	Catelyn I	Catelyn Tully	Queen Cersei Lannister	F	A	266 AC		Westermen	Queen, Light of the West, Queen Dowager, Protector of the Realm, Lady, Queen Regent	Cersei	Lannister			
A Game of Thrones	24	Catelyn I	Catelyn Tully	King Tommen I Baratheon	M	A	291 AC		Crownlander	Prince, King	Tommen	Baratheon		The Boy King	I
A Game of Thrones	25	Daenerys I	Daenerys Targaryen	Queen Daenerys I Targaryen	F	A	284 AC		Free cities	Queen, Khaleesi, Queen (claimant), Princess (claimant)	Daenerys	Targaryen		Daenerys Stormborn, Dany, The Unburnt, Mhysa, The silver queen, Silver Lady, Dragonmother, The dragon queen, Breaker of Chains	I
A Game of Thrones	25	Daenerys I	Daenerys Targaryen	Magister Illyrio Mopatis	M	A	?		Pentoshi	Magister of Pentos, Bravo	Illyrio	Mopatis		The cheesemonger, The fat man, The lord of cheese	
A Game of Thrones	25	Daenerys I	Daenerys Targaryen	Prince Viserys III Targaryen	M	D	276 AC	298 AC	Free cities	Prince, King (claimant)	Viserys	Targaryen		The Beggar King, Khal Rhae Mhar (the Sorefoot King), Khal Rhaggat (the Cart King)	III
A Game of Thrones	26	Daenerys I	Daenerys Targaryen	Khal Drogo	M	D	267 AC	298 or 299 AC	Dothraki	Khal, Khalakka	Drogo			Great Rider, Great Khal	
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	Prince Rhaegar Targaryen	M	H	259 AC	283 AC	Crownlander	Ser, Prince	Rhaegar	Targaryen		Silver prince, The dragon prince, The last dragon	
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	Princess Elia Martell	F	H	256 or 257 AC	283 AC	Dornishmen	Princess	Elia	Martell		Elia of Dorne	
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	Prince Aegon Targaryen	M	U	281 or 282 AC	283 AC (supposedly)	Crownlander	Prince	Aegon	Targaryen		Young Griff, Son of Rhaegar	
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	Ser Jaime Lannister, Kingslayer	M	A	266 AC		Westermen	Ser, Squire, Lord Commander of the Kingsguard	Jaime	Lannister		Kingslayer, The Lion of Lannister, the Young Lion, cripple	
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	King Stannis I Baratheon	M	U	264 AC		Stormlander	Ser, Lord, Master of ships, King (claimant)	Stannis	Baratheon		The King in the Narrow Sea, The King of the Painted Table, The dark lord, The King of Dragonstone, The King at the Wall, Azor Ahai reborn/come again	I
A Game of Thrones	27	Daenerys I	Daenerys Targaryen	Ser Willem Darry	M	H	?	289 or 290 AC	Rivermen	Ser, Master-at-arms	Willem	Darry			
A Game of Thrones	29	Daenerys I	Daenerys Targaryen	King Aegon I Targaryen, The Conqueror/The Dragon	M	H	27 BC	37 AC	Crownlander	King, Lord	Aegon	Targaryen		The Conqueror, the Dragonlord, the Dragon	I
A Game of Thrones	29	Daenerys I	Daenerys Targaryen	Queen Visenya Targaryen, Wife of Aegon I	F	H	29/28 BC	44 AC	Crownlander	Queen, Lady, Dowager Queen	Visenya	Targaryen		Wife of Aegon I	
A Game of Thrones	29	Daenerys I	Daenerys Targaryen	Queen Rhaenys Targaryen, Wife of Aegon I	F	H	26/25 BC	10 AC	Crownlander	Queen, Lady	Rhaenys	Targaryen		Wife of Aegon I	
A Game of Thrones	31	Daenerys I	Daenerys Targaryen	Princess Rhaenys Targaryen, daughter of Rhaegar	F	H	280 AC	283 AC	Crownlander	Princess	Rhaenys	Targaryen		Rhaegar's daughter	
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Haggo	M	D	?	298 or 299 AC	Dothraki	Bloodrider	Haggo				
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Cohollo	M	D	?	298 or 299 AC	Dothraki	Ko, Bloodrider	Cohollo				
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Qotho	M	D	?	298 or 299 AC	Dothraki	Bloodrider	Qotho				
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Khal Moro	M	A	?		Dothraki	Khal	Moro				
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Khalakka Rhogoro	M	A	?		Dothraki	Khalakka	Rhogoro				
A Game of Thrones	33	Daenerys I	Daenerys Targaryen	Ser Jorah Mormont	M	A	Roughly 254 AC		Northmen	Ser, Lord (stripped), Lord Commander of the Queensguard (exiled)	Jorah	Mormont		The exile knight, Jorah the Andal, Ser Bezoar	
A Game of Thrones	36	Eddard I	Eddard Stark	Sandor Clegane, The Hound	M	U	270 or 271 AC	300 AC (supposedly)	Westermen		Sandor	Clegane		The Hound (I), Dog	
